label,length,width,central_point_x,central_point_y,bb_color
0,57,20,10,790,red
1,21,16,8,631,red
2,30,18,9,187,red
3,30,13,89,81,red
4,28,13,410,14,red
5,59,31,15,29,red
6,138,27,13,772,orange
7,84,27,13,638,orange
8,47,19,9,520,orange
9,72,37,131,268,orange
10,88,39,86,79,orange
11,96,75,379,48,orange
12,52,30,183,26,orange
13,236,60,30,118,orange
14,40,12,90,856,yellow
15,100,63,368,826,yellow
16,23,22,406,523,yellow
17,410,49,24,671,yellow
18,60,30,348,251,yellow
19,120,57,132,266,yellow
20,53,24,223,192,yellow
21,223,96,369,111,yellow
22,104,56,182,52,yellow
23,463,115,57,231,yellow
